make,year,mileage,last_service_mileage,service_type,last_service_date,next_service_date
Toyota,2018,45000,40000,Oil Change,2023-01-15,2023-07-15
Honda,2020,30000,28000,Tire Rotation,2023-03-10,2023-09-10
Ford,2019,38000,35000,Brake Inspection,2023-02-20,2023-08-20
Chevrolet,2021,22000,20000,Oil Change,2023-04-05,2023-10-05
BMW,2017,52000,48000,Transmission Fluid,2023-01-30,2024-01-30
Toyota,2019,52000,48000,Oil Change,2023-03-01,2023-09-01
Honda,2021,25000,23000,Tire Rotation,2023-04-15,2023-10-15
Ford,2020,42000,39000,Brake Inspection,2023-02-10,2023-08-10
Chevrolet,2018,58000,54000,Oil Change,2023-01-20,2023-07-20
Mercedes,2019,38000,35000,Transmission Fluid,2023-03-05,2024-03-05
Audi,2020,32000,29000,Oil Change,2023-04-10,2023-10-10
Hyundai,2021,18000,16000,Tire Rotation,2023-05-01,2023-11-01
Kia,2019,47000,43000,Brake Inspection,2023-02-15,2023-08-15
Nissan,2018,51000,47000,Oil Change,2023-01-25,2023-07-25
Subaru,2020,29000,26000,Transmission Fluid,2023-03-20,2024-03-20
Volkswagen,2021,23000,21000,Oil Change,2023-04-25,2023-10-25
Mazda,2019,44000,40000,Tire Rotation,2023-05-10,2023-11-10
Lexus,2018,49000,45000,Brake Inspection,2023-02-05,2023-08-05
Jeep,2020,37000,34000,Oil Change,2023-03-15,2023-09-15
Tesla,2021,15000,14000,Coolant Flush,2023-06-01,2024-06-01
Toyota,2017,62000,58000,Transmission Fluid,2023-01-10,2024-01-10
Honda,2019,41000,38000,Oil Change,2023-04-01,2023-10-01
Ford,2018,55000,51000,Tire Rotation,2023-02-25,2023-08-25
Chevrolet,2020,34000,31000,Brake Inspection,2023-03-30,2023-09-30
BMW,2016,67000,62000,Oil Change,2023-01-05,2023-07-05
Mercedes,2020,36000,33000,Transmission Fluid,2023-04-20,2024-04-20
Audi,2019,43000,40000,Oil Change,2023-05-05,2023-11-05
Hyundai,2018,50000,46000,Tire Rotation,2023-02-28,2023-08-28
Kia,2020,31000,28000,Brake Inspection,2023-03-25,2023-09-25
Nissan,2017,59000,54000,Oil Change,2023-01-18,2023-07-18
Subaru,2019,46000,42000,Transmission Fluid,2023-04-15,2024-04-15
Volkswagen,2018,48000,44000,Oil Change,2023-05-20,2023-11-20
Mazda,2020,27000,25000,Tire Rotation,2023-06-10,2023-12-10
Lexus,2019,39000,36000,Brake Inspection,2023-03-08,2023-09-08
Jeep,2017,64000,59000,Oil Change,2023-01-22,2023-07-22
Tesla,2020,20000,19000,Coolant Flush,2023-04-30,2024-04-30
Toyota,2016,70000,65000,Transmission Fluid,2023-02-12,2024-02-12
Honda,2018,53000,49000,Oil Change,2023-05-15,2023-11-15
Ford,2021,26000,24000,Tire Rotation,2023-06-05,2023-12-05
Chevrolet,2019,45000,41000,Brake Inspection,2023-03-18,2023-09-18
BMW,2018,56000,52000,Oil Change,2023-02-08,2023-08-08
